MEDIO	BACTERIA	PUBID	LLAVE	ESTADO
 Hoeflea	 Artificial Seawater (ASW) medium	 PUB_ID	BMDM	1
 Hypomicrobium	 Hypomicrobium medium 337A	 23314912	BMDM	1
 Hypomicrobium	 Mineral medium	 25979892	BMDM	1
 Hypomicrobium	 Mineral medium v2	 17938908	BMDM	1
 Rhodocista	 T4 medium	 7765115	BMDM	1
 Rhodocista	 SA medium	 17913074	BMDM	1
 Rhodocista	 JNFB medium	 NA	BMDM	1
 Polyangium	 CY medium with seawater salts	 11403403	BMDM	1
 Polyangium	 Probion liquid medium	 21304682	BMDM	1
 Clostridisailbacter	 MCWD3 medium	 27220069	BMDM	1
 Clostridisailbacter	 Basal medium hungate	 27095453	BMDM	1
 Clostridisalibacter	 Basal medium	 18175684	BMDM	1
 Clostridilsailbacter	 Anaerobic enrichment medium	 22307504	BMDM	1
 Gelria	 Bicarbonate buffered medium	 20173012	BMDM	1
 Marinomonas	 BSi20414 medium	 11931148	BMDM	1
 Marinomonas	 Marine agar 2216	 28075353	BMDM	1
 Rudaea	 R2A medium	 27199280	BMDM	1
 Actinoallomurus	 AF-A medium	 19620378	BMDM	1
 Actinoallomurus	 Mannitol Soya Flour Agar SFM	 28218529	BMDM	1
 Sporomusa	 Sporomusa medium (betaine)	 20418407	BMDM	1
