 Artificial Seawater (ASW) medium	M_1
 Hypomicrobium medium 337A	M_2
 Mineral medium	M_3
 Mineral medium v2	M_4
 T4 medium	M_5
 SA medium	M_6
 JNFB medium	M_7
 CY medium with seawater salts	M_8
 Probion liquid medium	M_9
 MCWD3 medium	M_10
 Basal medium hungate	M_11
 Basal medium	M_12
 Anaerobic enrichment medium	M_13
 Bicarbonate buffered medium	M_14
 BSi20414 medium	M_15
 Marine agar 2216	M_16
 R2A medium	M_17
 AF-A medium	M_18
 Mannitol Soya Flour Agar SFM	M_19
 Sporomusa medium (betaine)	M_20
