Isolation of hydrocarbon degrading bacteria,,PUBID,Comp/Genero,Ref,NaCl,KCl,Na2S2O3*5H2O,CaCl2* 2H2O,MgSO4*7H2O,MgCl2* 6H2O,MgCl2*7H20,Na2CO3,K2HPO4,Na2HPO4,(NH4)2SO4,FeSO4*7H2O,Na2MoO4*2H2O,MnSO4*4H2O,CuCl2*2H2O,B12 Vitamin,NH4Cl,Malic acid,Casein Hydrolysate,Yeast extract,C6H5FeO7,Casein peptone,Casitone,Probion*,Soluble starch,HEPES Buffer,FeSO4 ,Glucose,NaHCO3,Na2S*9H2O,NH4NO3,NaF,Na2SiO3,KBr,SrCl2,Sodium acetate,Sodium succinate,Sodium pyruvate,Resazurin,Cysteine*H2O*HCl,Na2S*7H2O,MgCl2  ,CaCl2 ,lactose,Tryptone,KH2PO4,Soybean meal,Soybean flour,MES buffer,NaH2PO4,MgSO4 ,ZnSO4,CuSO4,Mannitol,CoCl2,(NH4)6Mo7O24,MnCl2,EDTA,FeEDTAsolution (1.65%),Na2SO4,H3BO3,Agar,Peptone  ,Trypticase peptone (BD),Peptone from meat (pepsin digested)
,Artificial Seawater (ASW) medium,23314912,Hoeflea,Jung2013,26.4 g/L,0.67 g/L,,1.36 g/L,6.29 g/L,4.66 g/L,,0.18 g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hypomicrobium medium 337A,25979892,Hypomicrobium,Martineau2015,,,,0.00309 g/L,0.002 g/L,,,,1.3 g/L,1.13 g/L,0.5 g/L,0.002 g/L,0.001 g/L,0.00088 g/L,10 g/L,0.0001 g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mineral medium,17938908,Hypomicrobium,Jerome2007,,,,,,,,,1.742 g/L,,1.9821 g/L,,,,,,,,,,,,,,,,0.000607 g/L,,,,,,,,,,,,,,,,0.0011098 g/L,,,,,,,1.679 g/L,1.203 g/L,0.0001614 g/L,0.0001596 g/L,,0.0001298 g/L,0.216 g/L,0.0006292 g/L,0.0011689 g/L,,,,,,,
,Mineral medium v2,7765115,Hypomicrobium,Pol1994,,,,0.01 g/L,,0.1 g/L,,0.5 g/L,0.4 g/L,,,,,,,,0.4 g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 g/L,,,,,,,,,,,,,,,,,,,
,T4 medium,17913074,Rhodocista,Kleiner2007,1 g/L,,,0.1 g/L,,0.5 g/L,,,,,,,,,,,1 g/L,,,,,,,,,,,,1 g/L,,,,,,,3 g/L,,,,,,,,,,1 g/L,,,,,,,,,,,,,,,,,,,
,SA medium,NA,Rhodocista,Kawasaki1992,0.2 g/L,,0.1 g/L,0.05 g/L,0.2 g/L,,,,0.6 g/L,,1 g/L,,,,,,,,,0.1 g/L,,,,,,,,,,,,,,,,1 g/L,1 g/L,,,,,,,,,0.5 g/L,,,,,,,,,,,,,,,,,,,
,JNFB medium,11403403,Rhodocista,Stoffels2001,1 g/L,,,0.02 g/L,0.2 g/L,,,,0.5 g/L,,,,,,,,,5 g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65 g/L,,,,,,
,CY medium with seawater salts,21304682,Polyangium,Ivanova2010,21.1 g/L,0.6 g/L,,1.2 g/L,2.6 g/L,3.6 g/L,,,,,,,,,,,,,,1 g/L,,,3 g/L,,,,,,0.09 g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 g/L,,,
,Probion liquid medium,27220069,Polyangium,Tautz2016,,,,0.5 g/L,,,2 g/L,,,,,,,,,,,,,,,,,3 g/L,3 g/L,2.38 g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MCWD3 medium,27095453,Clostridisailbacter,Kim2016,22 g/L,0.34 g/L,,0.14 g/L,3.45 g/L,2.8 g/L,,,0.14 g/L,,,,,,,,0.5 g/L,,,2 g/L,,,,,,,0.017 g/L,5 g/L,5 g/L,0.5 g/L,,,,,,1.4 g/L,,,0.001 g/L,0.5 g/L,,,,,,,,,,,,,,,,,,,,,,,,,
,Basal medium hungate,18175684,Clostridisailbacter,Pierre2008,50 g/L,0.1 g/L,,0.1 g/L,,,,,0.3 g/L,,,,,,,,1 g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 g/L,,,,,,,,,,,,,,,,,,,
,Basal medium,22307504,Clostridisalibacter,Ming2012,,,,,,,,,,,,,,,,,,,,10 g/L,,,,,,,,5 g/L,,,,,,,,,,,,0.5 g/L,,,,,,,,,,,,,,,,,,,,,,,,5 g/L,5 g/L
,Anaerobic enrichment medium,20173012,Clostridilsailbacter,Raja2011,40 g/L,0.5 g/L,,,,,,,0.3 g/L,,,,,,,,1 g/L,,,2 g/L,,,,,,,,3 g/L,,,,,,,,,,,,0.5 g/L,,,0.2 g/L,,,0.3 g/L,,,,,,,,,,,,,,,,,,,
,Bicarbonate buffered medium,11931148,Gelria,Plugge2002,0.3 g/L,,,0.11 g/L,,0.11 g/L,,,,0.53 g/L,,,,,,,0.3 g/L,,,0.5 g/L,,,,,,,,,4 g/L,,,,,,,,,,0.005 g/L,,0.25 g/L,,,,,0.4 g/L,,,,,,,,,,,,,,,,,,,
,BSi20414 medium,28075353,Marinomonas,Ding2007,,1 g/L,,,4 g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 g/L,0.6 g/L,15 g/L,5 g/L,,,,,,,,,,,,,,,,,,,,
,Marine agar 2216,27199280,Marinomonas,Lasa2016,19.45 g/L,0.55 g/L,,,,,,,,0.008 g/L,,,,,,,,,,1 g/L,0.1 g/L,,,,,,,,0.16 g/L,,0.0016 g/L,0.0024 g/L,0.004 g/L,0.08 g/L,0.034 g/L,,,,,,,8.8 g/L,1.8 g/L,,,,,,,,,,,,,,,,,3.24 g/L,0.022 g/L,15 g/L,5 g/L,,
,R2A medium,19620378,Rudaea,Weon2008,,,,,,,,,0.3 g/L,,,,,,,,,,0.5 g/L,0.5 g/L,,0.25 g/L,,,0.5 g/L,,,0.5 g/L,,,,,,,,,,0.3 g/L,,,,,,,,,,,,,0.024 g/L,,,,,,,,,,,15 g/L,,,0.25 g/L
,AF-A medium,28218529,Actinoallomurus,Iorio2017,0.5 g/L,,,,,,,,,,,,,,,,,,,1 g/L,,,,,,,,10 g/L,,,,,,,,,,,,,,,,,,,4 g/L,,1.5 g/L,,,,,,,,,,,,,,,,
,Mannitol Soya Flour Agar SFM,20418407,Actinoallomurus,Chantra2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10 g/L,,,,,8 g/L,,,,,,8 g/L,,,,,,,,8 g/L,,,
,Sporomusa medium (betaine),26530351,Sporomusa,Tremblay2015,2.25 g/L,,,0.25 g/L,0.50 g/L,,,,0.35 g/L,,,,,,,,0.50 g/L,,,2 g/L,,,2 g/L,,,,,,4 g/L,0.30 g/L,,,,,,,,,,0.30 g/L,,,,,,0.23 g/L,,,,,,,,,,,,,,,,,,,
